Blog	used	down	side	read	number	maybe	find	business	question	post	feel	people	any	website	years	name	based	design	your	off	once	his	why	companies	too	makes	show	bit	said	hard	try	already	got	using	less	am	system	real	than	four	want	email	thought	sure	future	best	security	what	different	would	event	another	recent	line	if	good	world	running	problem	big	own	going	so	our	play	keep	do	him	head	hand	book	u	had	pretty	features	re	look	users	data	every	set	full	idea	before	just	us	site	reading	two	watch	night	google	though	bad	talk	thing	because	well	she	year	pay	m	told	old	products	yet	man	or	seems	didn	looking	public	questions	others	such	they	trying	each	far	social	way	last	open	building	stop	until	work	out	getting	took	least	now	october	technology	web	know	probably	did	company	small	around	home	appeared	most	here	these	making	help	internet	week	long	there	found	change	something	doing	through	been	blog	often	go	over	also	need	being	same	reports	government	check	my	facebook	after	ll	live	take	who	easy	everything	me	them	house	ve	simple	things	video	by	then	worked	think	he	even	love	however	ago	should	story	actually	will	few	called	back	much	little	while	says	their	not	times	still	team	money	isn	person	next	content	first	media	life	both	lot	could	use	make	put	news	done	report	tips	app	friday	end	anyone	whole	its	under	which	control	fast	almost	apple	say	place	five	large	into	where	get	her	twitter	matter	always	time	better	million	were	enough	latest	part	ask	several	case	between	really	start	decided	started	simply	family	game	many	according	morning	com	see	made	during	no	very	don	important	let	top	major	past	needs	some	value	together	does	when	group	known	great	day	months	continue	deal	may	like	might	other	since	away	without	today	right	ever	free	list	days	phone	month	went	never	those	d	only
Creating Passionate Users	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	3	0	2	0	0	0	0	2	1	0	0	0	0	1	2	2	1	0	0	1	0	0	0	0	0	0	0	0	1	0	14	0	1	0	0	1	1	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	2	0	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	3	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	4	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	3	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	1	0	0	0	0	0	1	0	1	2	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gothamist	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	4	0	1	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	2	1	1	0	0	0	1	1	4	0	0	0	1	1	2	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	2	7	0	0	1	0	1	0	0	0	0	1	2	0	5	2	0	0	0	3	2	0	0	1	0	1	1	0	0	0	0	5	0	0	2	0	0	2	0	0	0	0	0	4	1	0	1	2	0	0	0	2	0	1	1	0	2	2	0	0	0	0	2	2	0	4	2	2	1	0	1	0	0	4	0	0	0	3	0	0	0	0	0	0	2	0	2	4	0	2	0	2	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	1	0	2	4	0	0	1	0	6	0	2	1	0	0	1	0	4	0	0	0	0	2	0	1	0	0	0	0	0	1	2	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	5	2	1	10	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	2	1	1	0	0	0	3	0	2	0	0	0	0	1	0	0	0	0	1	0	1	3	1	0	0	1	3	2	0	0	0	0	4	1	0	0	1	0	0	1	0	0	0	1	0
plasticbag.org	0	0	1	6	2	0	1	0	0	1	0	4	1	0	2	0	0	3	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	5	1	0	0	0	1	0	0	0	0	0	1	2	0	2	1	0	0	0	0	0	0	0	0	2	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	1	2	0	0	0	0	0	1	1	1	0	1	0	0	0	2	0	0	2	0	0	0	0	2	1	2	0	0	0	0	0	2	0	0	1	1	2	2	2	0	0	1	0	1	1	1	0	0	0	2	0	0	1	0	2	1	0	0	1	3	0	3	0	1	0	1	0	0	1	1	0	0	0	1	1	1	1	2	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	3	0	0	1	1	0	0	0	0	0	1	0	3	1	0	3	0	0	0	1	0	0	1	0	1	0	5	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	6	1	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	1	0
Kotaku	0	0	0	24	0	1	1	0	1	0	1	0	2	0	1	1	0	1	2	2	0	1	1	0	3	0	1	0	1	0	0	1	1	0	0	1	1	0	2	0	0	0	0	0	1	4	0	2	1	5	0	2	0	0	6	1	5	0	0	2	0	3	3	1	2	1	1	1	1	0	1	0	0	0	0	1	3	0	0	3	0	0	0	1	2	7	1	0	2	1	1	0	1	0	0	2	0	1	0	3	0	2	2	0	1	0	2	7	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	1	2	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	4	1	1	2	1	2	1	3	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	1	3	2	1	0	1	1	2	1	0	2	4	0	3	0	0	2	1	0	0	1	1	1	0	0	2	3	0	0	5	1	1	0	1	1	2	0	0	6	1	1	3	0	0	1	3	2	2	0	3	0	0	1	0	1	1	1	1	0	2	0	0	1	0	0	4	1	1	0	0	0	0	0	0	1	0	6	0	4	0	2	1	0	1	0	0	1	1	0	1	0	2	1	1	0	4	1	1	0	0	8	0	0	0	1	0	1	1	0	1	0	0	1	2	0	0	0	3	0	0	1	0	1	1	3	3	0	0	2	0	3	2	2	0	0	0	6	1	0	1	1	1	0	1	0	2	0	1	3
SpikedHumor - Today's Videos and Pictures	0	2	2	0	0	2	0	0	0	3	3	2	2	3	2	0	0	0	5	2	2	8	4	0	1	1	4	1	2	0	0	0	1	3	0	2	1	3	0	0	1	0	0	0	1	5	2	4	0	2	0	3	0	0	1	2	1	1	2	1	0	0	2	1	3	1	2	1	2	0	0	2	3	0	0	2	5	0	0	3	3	2	0	2	9	2	1	0	0	102	1	1	0	0	2	0	3	0	2	0	0	0	0	2	0	0	4	3	0	0	0	1	1	0	1	0	0	0	1	0	1	4	0	0	0	1	2	1	0	0	0	0	0	0	0	4	2	2	0	0	4	0	0	2	101	1	3	0	0	0	2	1	2	1	2	0	0	3	0	0	2	0	3	1	1	0	1	3	0	8	0	2	0	2	1	3	0	1	4	3	1	2	0	1	14	108	2	0	2	7	5	1	0	2	1	0	1	5	1	1	2	0	1	2	1	3	8	1	2	1	1	0	0	0	0	1	0	1	0	0	1	0	2	3	2	1	1	0	2	0	3	0	1	6	1	0	0	0	0	4	0	0	0	0	2	0	2	0	0	0	0	3	0	0	0	0	0	2	0	1	0	2	1	0	0	1	0	1	1	1	1	0	6	4	0	0	1	0	2	0	2	2	2	0	0	8	0	1	2	3	1	1	1	1	0	0	2	1	4	0	2	1	1	0	101	0	3	1	1	4	2	0	2	1	2	0	0
Hot Air » Top Picks	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	26	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bloggers Blog	0	0	0	14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	17	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slashdot	2	2	0	15	1	0	0	2	0	2	1	1	1	1	0	1	3	3	1	0	0	5	1	1	2	1	0	1	2	0	0	4	1	3	3	0	4	2	9	0	0	0	0	2	2	0	3	1	1	5	1	0	0	0	5	2	2	0	2	2	1	1	6	2	0	0	2	1	0	2	0	0	4	1	2	1	4	2	5	0	1	1	2	2	1	1	0	0	4	0	0	3	5	1	0	0	3	6	2	2	0	0	0	2	0	1	0	4	3	1	2	1	0	3	5	10	1	2	3	0	2	1	1	1	2	2	1	4	1	0	1	2	1	2	4	0	1	0	0	1	2	0	0	1	1	2	1	0	2	1	2	4	3	0	1	1	0	2	0	2	2	2	3	1	1	0	4	0	0	2	0	3	0	0	4	2	0	0	1	6	7	4	0	3	1	16	1	0	2	4	5	0	2	1	6	18	0	6	0	1	1	0	0	2	3	7	7	0	1	2	1	1	0	0	2	2	0	0	3	0	1	2	2	0	2	1	2	0	1	0	0	0	0	9	0	5	1	0	0	0	2	0	0	1	3	0	1	1	0	0	0	2	4	1	5	3	1	0	0	0	2	3	2	2	0	0	2	0	1	2	1	0	3	0	1	4	3	2	2	0	0	0	0	3	0	9	0	1	0	5	0	2	2	0	3	0	0	1	5	3	2	0	2	0	1	1	2	0	2	1	3	0	1	0	1	1	4
Signal v. Noise	5	6	0	3	0	2	6	10	6	1	6	31	19	0	2	1	3	4	32	5	2	1	8	1	8	3	8	1	2	2	6	1	5	3	0	0	2	2	6	0	17	6	1	3	4	8	0	30	8	3	2	6	0	1	27	9	2	3	2	2	3	6	24	6	2	8	18	0	3	2	0	0	7	0	2	28	2	1	0	10	6	1	8	7	22	3	3	0	3	0	0	5	3	2	5	3	8	6	1	2	2	4	0	0	3	2	0	35	0	2	3	1	4	3	2	37	6	1	2	0	13	0	2	2	4	1	33	21	2	0	4	12	0	0	1	14	5	4	2	0	5	1	0	9	12	2	5	1	0	2	4	12	4	3	20	2	3	8	0	6	10	6	4	21	4	8	2	1	3	6	1	3	22	4	4	11	4	11	6	28	2	21	1	12	0	10	6	3	7	1	7	3	0	2	7	1	2	12	6	2	15	3	1	4	1	8	18	2	2	4	0	2	4	3	0	0	0	0	4	2	3	12	21	1	2	8	3	0	9	1	3	9	3	1	0	5	2	4	2	5	1	10	0	0	11	16	33	3	0	5	8	12	12	0	2	4	1	3	5	0	2	5	1	3	0	1	2	3	0	2	0	1	1	14	4	0	12	2	11	4	4	8	0	4	2	16	1	7	2	14	6	0	10	5	0	0	7	3	15	1	15	0	3	6	3	12	6	0	4	0	7	1	0	5	5	13	6
Daily Kos	1	15	4	3	11	5	17	2	6	9	6	49	15	3	18	5	4	2	26	14	10	69	12	2	8	2	20	6	58	4	3	9	11	1	9	7	6	6	44	2	16	3	3	7	2	4	6	41	3	30	6	16	11	3	53	23	12	6	7	5	6	26	43	32	3	5	46	34	10	1	2	13	21	3	0	28	14	0	3	18	3	6	6	12	34	32	2	1	24	6	10	1	11	4	5	14	32	13	18	26	14	15	11	5	0	3	9	61	3	6	5	6	5	2	13	81	8	6	15	5	15	15	0	0	4	5	13	49	14	6	12	27	6	0	1	18	6	11	3	5	6	8	0	26	27	17	7	10	0	20	10	39	17	17	12	13	14	41	2	3	18	21	15	11	14	6	4	13	3	10	2	27	14	4	17	66	1	3	10	26	19	11	2	10	6	96	15	2	12	93	25	4	6	4	20	7	7	40	6	12	16	21	6	21	6	45	92	12	15	4	13	10	5	6	0	28	10	4	13	14	22	5	15	8	16	4	8	4	0	2	9	5	2	21	13	24	2	9	5	0	23	2	7	2	19	9	19	24	0	10	4	26	10	16	14	6	3	14	3	5	4	6	11	5	2	1	3	7	2	14	6	6	1	17	11	7	28	16	29	8	11	10	7	8	2	25	1	1	14	26	10	6	2	9	9	2	2	12	21	13	31	11	3	14	9	23	4	5	3	10	0	6	4	14	21	17	22
MetaFilter	0	0	0	0	0	0	1	0	0	0	0	2	0	1	1	3	1	0	6	0	1	3	1	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	1	2	0	1	0	0	0	0	1	0	1	0	0	2	0	1	2	2	0	0	0	3	1	1	0	0	1	1	3	0	0	1	1	2	0	0	2	1	0	1	0	0	1	1	2	0	2	0	0	1	0	0	0	1	0	0	0	0	2	1	1	0	1	0	2	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	2	2	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	1	0	1	0	1	1	2	1	0	1	1	0	0	0	2	0	0	2	0	1	0	1	2	0	0	0	0	0	0	2	0	0	0	0	2	1	0	1	0	2	0	1	0	2	4	8	1	0	0	2	1	1	0	1	1	1	0	3	2	0	4	0	0	0	0	6	2	0	1	0	0	0	0	1	0	1	2	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	1	0	2	0	1	0	4	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	2	1	1	2	1	0	0	0	1	2	0	2	0	0	0	6	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	3	0	2	0	1	0	0	0
Jeremy Zawodny's blog	1	25	1	3	2	3	2	4	0	2	1	5	2	0	8	3	0	0	13	5	1	10	4	0	5	4	0	11	2	5	4	1	8	4	1	4	1	1	4	1	3	2	0	3	2	2	0	15	1	8	0	4	2	13	17	6	1	1	2	0	0	8	23	21	0	2	6	4	1	3	1	0	17	1	0	5	0	2	4	1	4	3	2	12	9	28	1	4	6	1	2	0	1	0	3	3	6	7	2	2	0	5	2	0	0	2	0	23	3	11	2	2	1	3	3	26	3	5	2	1	13	2	0	0	1	4	6	8	6	6	0	5	0	1	0	5	6	7	2	5	3	1	3	8	6	1	1	5	2	4	10	19	1	1	7	2	2	6	13	2	8	9	7	5	4	3	0	0	2	21	0	10	8	0	3	5	0	2	16	7	0	7	0	5	0	8	16	3	3	9	4	0	3	6	6	0	1	12	13	2	15	4	2	6	0	13	9	3	4	3	0	0	2	5	1	13	1	2	4	7	13	10	4	2	0	0	0	0	0	0	5	2	1	0	0	9	2	3	0	0	6	1	0	2	9	8	16	1	1	1	1	23	2	0	24	2	0	0	1	3	1	2	12	1	6	1	2	0	0	3	0	0	0	10	7	2	5	16	1	4	0	4	0	0	0	22	7	2	3	15	4	1	2	8	0	0	0	5	17	2	8	6	4	1	3	5	3	1	1	0	0	0	6	3	2	13	7
Lifehacker	0	4	0	29	3	0	2	2	0	0	0	1	1	0	0	0	0	0	17	0	1	0	1	0	3	2	0	0	0	0	2	0	1	1	3	0	0	0	3	0	5	0	0	2	0	10	0	1	0	0	0	0	0	1	9	0	0	2	0	2	1	0	5	1	0	1	4	0	0	1	0	0	0	1	0	8	3	0	0	5	1	0	0	4	2	8	0	0	0	3	2	2	3	0	1	0	0	0	0	0	0	0	0	1	2	0	0	8	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	1	11	3	2	1	1	1	0	0	1	0	0	0	1	1	1	0	2	6	3	0	7	0	4	0	6	0	0	1	1	0	0	0	1	2	0	0	2	0	0	0	0	2	0	2	1	1	2	1	0	2	0	0	4	0	0	1	6	3	0	0	0	2	0	2	1	2	0	1	0	2	5	4	1	2	1	2	0	0	1	3	0	0	0	0	0	0	1	0	5	0	0	0	1	0	1	2	0	0	3	0	2	0	0	0	0	1	2	0	2	0	0	1	0	0	0	0	0	2	1	7	0	2	2	0	3	1	0	1	2	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	5	0	1	2	0	0	0	2	0	1	0	4	0	0	5	3	0	0	4	1	1	4	4	0	1	0	3	0	0	2	1	1	0	0	0	2	2	0	2
Publishing 2.0	2	2	0	1	2	0	1	5	4	8	0	5	3	0	2	1	1	0	4	1	0	4	4	6	2	0	1	1	1	1	0	1	3	1	1	3	0	0	3	0	1	0	0	1	15	2	0	15	0	2	0	0	3	0	8	0	2	0	0	4	2	3	13	7	1	2	1	0	3	0	2	1	5	0	2	6	0	1	1	1	2	4	1	0	4	6	9	5	4	0	0	7	1	0	1	1	5	2	0	1	1	5	0	1	0	1	0	7	1	0	1	0	1	1	0	11	2	1	0	1	4	5	1	0	1	0	1	7	0	0	1	6	0	4	16	2	0	0	2	0	4	0	2	11	7	5	2	2	3	4	1	11	1	1	0	2	5	5	5	2	1	3	1	1	2	0	0	1	0	4	3	0	2	0	1	2	1	2	1	1	1	6	2	1	0	9	2	0	2	8	0	0	0	1	2	3	1	11	4	4	1	3	0	2	0	6	10	3	1	1	1	1	0	2	12	7	11	0	2	3	5	2	2	2	44	0	1	0	0	0	1	3	0	3	0	12	1	5	1	0	1	0	1	0	1	4	3	0	5	0	0	2	0	1	0	3	0	0	2	1	2	0	0	2	0	2	0	0	1	6	1	0	8	2	0	0	5	2	5	7	1	1	2	0	2	5	2	0	0	2	0	0	4	0	1	2	0	3	7	1	7	2	4	0	5	6	0	1	0	3	0	0	0	0	2	1	1
TechCrunch	1	1	0	20	0	0	0	0	1	1	0	1	0	0	1	2	3	0	5	1	1	1	0	2	0	0	2	0	1	0	0	0	1	1	0	0	1	1	0	2	0	0	0	0	1	0	0	5	1	0	0	2	1	0	3	0	1	0	1	0	1	3	2	2	0	0	4	0	0	0	2	0	2	0	0	1	0	1	0	0	0	2	0	2	1	1	0	0	1	0	1	1	0	0	1	0	1	2	1	6	2	0	0	1	2	0	0	6	2	0	1	2	0	0	0	4	0	1	1	0	1	1	0	1	0	0	1	3	0	1	0	3	1	4	1	0	0	0	4	0	1	1	0	1	0	2	1	0	1	1	0	1	0	0	2	0	1	5	1	1	2	3	3	1	1	0	0	0	0	5	0	2	0	1	1	2	0	0	0	1	0	1	0	3	0	5	0	0	0	1	2	0	0	0	1	0	0	5	1	0	1	0	3	3	0	2	2	0	1	1	0	0	0	0	0	8	1	0	1	1	0	1	2	1	1	0	1	0	2	0	1	0	0	8	0	2	2	0	0	2	0	0	2	0	5	3	1	4	4	0	0	0	0	6	1	0	0	0	0	0	0	1	0	0	0	0	1	2	1	0	0	0	0	0	1	1	2	0	1	1	0	0	0	0	1	1	0	1	0	1	2	1	0	0	1	0	0	0	3	1	2	0	0	0	2	1	0	0	0	0	0	2	0	0	2	2	1
Latest from Crooks and Liars	1	1	2	6	0	0	0	1	0	0	1	2	4	0	0	0	0	0	0	1	0	15	1	0	0	1	0	0	4	1	0	0	3	1	0	0	0	2	7	3	2	0	0	0	0	0	1	6	1	0	0	0	2	0	1	1	0	0	0	0	6	0	1	0	0	0	3	0	1	2	1	1	3	0	0	2	0	0	0	2	0	1	0	2	2	0	0	0	1	0	0	0	0	1	0	2	4	0	1	0	2	0	1	0	0	0	0	5	0	1	1	2	0	0	0	4	0	0	0	0	3	0	1	0	0	0	3	3	1	0	0	1	0	0	0	0	0	2	0	2	1	0	0	1	1	0	0	0	0	2	0	2	0	0	1	0	0	1	0	0	0	2	3	1	0	0	0	5	0	0	0	3	0	0	1	5	0	0	0	4	0	1	0	0	0	9	2	0	0	24	1	0	0	1	3	0	2	0	0	0	1	2	0	1	3	4	6	1	0	0	2	0	1	0	0	2	1	2	0	0	2	0	1	0	1	1	0	0	0	1	0	0	0	1	1	2	0	0	2	0	0	1	0	0	3	1	1	2	0	0	2	5	1	2	1	0	12	0	0	1	0	2	1	0	0	1	1	0	0	1	1	1	0	0	1	1	5	1	0	0	1	1	0	1	1	1	0	0	1	7	0	0	1	0	0	1	0	0	1	0	3	2	1	0	1	3	1	0	0	3	0	0	0	1	1	1	5
flagrantdisregard	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	5	0	0	1	0	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	1	3	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	4	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	3	1	1	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	1	0	2	0	4	3	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	4	1
kottke.org	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Google Operating System	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Captain's Quarters	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	1	6	0	0	0	0	1	0	0	0	0	0	1	0	1	0	2	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	2	1	0	0	0	2	0	0	1	1	0	0	2	0	3	0	0	1	1	0	0	2	0	0	0	0	0	0	4	0	0	0	6	1	0	0	1	2	2	0	5	1	0	2	0	0	1	0	6	2	0	1	0	1	0	0	1	0	2	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	1	0	0	0	0	3	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	1	0	1	0	0	0	1	0	0	0	2	2	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
